WORD,PREDICTION
threads,0
reinforce,1
letters,0
pioneered,1
closer,0
fruits,0
gems,0
participants,1
tools,0
independent,1
rushed,0
physics,0
volume,0
box-office,1
warn,0
sorts,0
allegiance,1
hitchhiker,1
boring,0
celebrate,1
stranded,1
extra,0
expecting,1
steam,0
decide,0
flown,0
gunmen,0
murder,0
soldiers,0
purchasing,1
confined,0
lowered,0
participated,1
lady,0
fishes,0
acclaim,0
taste,0
highs,0
ordinary,0
finish,0
jewelry,0
seeing,0
skydive,0
already,0
instill,0
judges,0
aims,0
deep,0
fragment,1
right,0
sneaks,0
basketball,1
name,0
townships,1
throw,0
film,0
transplanted,1
purveyor,1
doctors,0
coveted,0
assume,0
textbooks,1
hearts,0
computer-animated,1
lakota,0
paintings,1
realized,0
throne,0
popular,0
decaying,1
orders,0
exemption,1
permissive,1
hire,0
burned,0
fierce,0
guns,0
father,0
whether,0
atmosphere,1
western,0
fissures,1
paint,0
reunite,0
borders,0
inflamed,1
proceed,0
canvas,0
reputations,1
upper,0
cocktails,1
fair,0
suspects,1
methods,0
kingdom,0
late,0
illustrated,1
fries,0
count,0
pencils,0
visitor,0
mystery,0
warmer,0
abstract,0
much,0
smoking,0
prominent,1
lucrative,1
districts,1
sleeping,1
ghetto,0
counselors,1
referendum,1
fishery,0
biotechnology,1
intended,0
incurred,1
bloodied,1
dwelling,1
richest,0
ballet,0
presence,0
cars,0
differences,1
starcraft,1
carried,0
ranks,0
prohibition,1
extremist,1
alien,0
craftsmanship,1
wears,0
deployments,1
building,0
counted,0
ambassador,1
reference,0
announcing,1
impossible,1
nurses,0
project,0
teach,0
hate,0
metropolitan,1
degrees,0
bionic,0
invaded,0
observe,0
draws,0
eggs,0
inflated,1
racist,0
dramatic,0
schools,0
listed,0
recreated,1
field,0
certainty,1
robotics,1
passages,0
sinister,1
stew,0
access,0
parachuted,1
unrest,0
shepherds,1
golden,0
build,0
generation,1
emergency-response,1
pizza,0
calling,0
key-moy-ah-too,1
formal,0
looking,0
controlling,1
song,0
edible,0
hazard,0
viral,0
couple,0
cord,0
busy,0
heaviest,1
court,0
concern,0
animals,0
investigation,1
sternly,0
bright,0
rebuild,0
uptick,0
rhinoceros,1
dinosaurs,1
gateway,0
industrialist,1
construction,1
growing,0
moocs,0
glacier,0
invest,0
reroute,0
imminent,1
avoids,0
pusher,0
cataclysmic,1
asking,0
gets,0
balls,0
emotional,1
sometimes,0
accidents,1
accused,0
plateau,0
vulnerability,1
juices,0
patronage,1
floating,1
staffers,1
announce,1
climbed,0
plantations,1
number,0
troops,0
chants,0
tourism,0
apps,0
changed,0
disruptions,1
point,0
root,0
disdain,0
holding,0
problem,0
founding,1
supporters,1
logs,0
soul,0
like,0
tougher,0
actions,0
meeting,0
lost,0
full-fledged,1
well-prepared,1
colleagues,1
scholar,0
orphan,0
sophisticated,1
similar,0
jokes,0
walked,0
symmetrical,1
long-reaching,1
heady,0
third-degree,1
women,0
capacity,0
overcast,1
imposing,1
silver,0
abaya,0
climbing,1
training,0
let,0
rich,0
otoliths,1
byproduct,1
limits,0
teenager,1
perspective,1
shrewd,0
forces,0
crimes,0
glad,0
intractable,1
hormone,0
graduate,1
hundreds,0
outside,0
experts,0
brand,0
booms,0
warm,0
spasmed,0
ordering,1
gain,0
seas,0
butchering,1
remember,0
visited,0
rocket-powered,1
campuses,1
teaching,0
sandwiched,1
interactive,1
allies,0
knowing,0
engineers,1
life,0
goals,0
thick,0
pedestrian,1
washing,0
miracle,0
toxin,0
out-of-control,1
call,0
details,0
fowleri,0
album,0
moored,0
stairwell,1
beating,0
crash,0
tourniquet,1
resources,0
insisted,0
sample,0
nearly,0
denouncing,1
spate,0
ipad,0
turn,0
voter,0
crab,0
described,0
enemies,0
jointly,0
branch,0
weight,0
explore,0
roaring,0
population,0
bought,0
drag,0
biology,0
geology,0
pre-eminence,1
better-tasting,1
perilous,1
murky,0
primordial,1
earth,0
watching,0
light,0
removing,1
approach,0
mother,0
cerebellum,1
tried,0
rows,0
electrifying,1
brainhealth,1
gripped,0
sift,0
chips,0
threat,0
affect,0
climate,0
plenty,0
path,0
commitment,1
factor,0
afford,0
olives,0
addressing,1
padded,0
comets,0
young,0
press,0
ability,0
patrol,0
mvp,0
included,0
causes,0
birthday,1
teenie,0
needs,0
wooden,0
rooted,0
uninhabitable,1
accompanied,1
flawless,1
send,0
analyzed,1
sounds,0
scheme,0
intensified,1
students,0
home,0
perform,0
force,0
anticipated,1
displaced,1
metroplex,1
criminal,0
proportions,1
25-foot-long,1
different,0
compels,0
atoms,0
effect,0
farms,0
skeptical,1
industry,0
nickname,1
jackhammers,1
special,0
washed,0
diet,0
exploded,1
in-flight,1
wonk,0
replace,0
country,0
gas-shrouded,1
onslaught,1
proficiency,1
exposure,0
periodic,1
dog,0
outlet,0
never,0
space,0
early,0
marketing,1
weenie,0
students,0
reaction,0
huddle,0
thinkers,1
crumbling,1
extinguished,1
night-time,1
pay,0
broken,0
practice,0
hub,0
bone,0
predatory,1
secession,1
confounded,1
betrothed,1
image,0
fahrenheit,1
reminded,1
tourism-dependent,1
eligible,1
researchers,1
fight,0
post,0
fiercest,1
ushered,0
concussions,1
cataloging,1
257th,0
discussion,1
barricade,1
way,0
fail,0
silently,1
rule,0
gays,0
programs,0
larger,0
kid,0
force,0
lost,0
lagged,0
seasick,0
whites-only,1
evacuated,1
really,0
missing,0
zones,0
exodus,0
owners,0
examined,0
naturally,1
music,0
attitudes,1
shortly,0
sliver,0
extent,0
haul,0
corre,0
trends,0
damage,0
long-awaited,1
summit,0
chimed,0
tough,0
dreamed,0
nourishing,1
plans,0
conclusions,1
encouraged,1
franchise,1
effective,0
guaranteed,1
tablets,0
west,0
footballs,1
kilometers,1
stay,0
unemployment,1
teacher,0
sending,0
addition,0
haunt,0
limiting,1
showing,0
lawn,0
